DATE,DXT (°C),DNT (°C),DRR06_06 (mm)
01.01.1947,0.7,-0.8,0
02.01.1947,0,-1.5,0
03.01.1947,1.6,-2.8,0
04.01.1947,-1.6,-9.2,0
05.01.1947,-4,-12.4,0
06.01.1947,-8.3,-14.8,0
07.01.1947,-7,-9.6,2.2
08.01.1947,-1.5,-6.9,3.6
09.01.1947,2.5,-1.4,0.7
10.01.1947,2.6,-0.5,1.7
11.01.1947,3.3,-0.2,8.6
12.01.1947,5.5,1.6,3
13.01.1947,7.4,2,5.9
14.01.1947,7.2,0.8,5
15.01.1947,8,3,0.5
16.01.1947,9.8,1.9,0
17.01.1947,3.8,1.9,0.7
18.01.1947,3.2,0.5,0
19.01.1947,4.4,-1.5,0
20.01.1947,-0.4,-2.8,0
21.01.1947,0.6,-5.8,0.1
22.01.1947,-1.4,-7.6,0
23.01.1947,-3.4,-7.2,0
24.01.1947,-4.5,-8.4,0
25.01.1947,-5.5,-9.6,0
26.01.1947,-7,-10.6,0
27.01.1947,-8,-12.6,1.4
28.01.1947,-9.2,-13.8,0
29.01.1947,-7.8,-14.8,0
30.01.1947,-7.2,-12.8,0
31.01.1947,-2,-11.2,0
01.02.1947,-1.3,-8,0
02.02.1947,-2.4,-9.5,3
03.02.1947,0.1,-5.3,6
04.02.1947,-0.1,-3.9,0
05.02.1947,-3.9,-8.4,0
06.02.1947,-4.8,-10.4,0.3
07.02.1947,-5.8,-11.2,0
08.02.1947,-2.8,-10.5,5
09.02.1947,4.5,-2.8,0.8
10.02.1947,1.5,-2,1.6
11.02.1947,-2,-4,0
12.02.1947,-0.6,-3.8,0
13.02.1947,3,-4.3,0
14.02.1947,-1.9,-7.3,0
15.02.1947,-5.2,-9.9,0
16.02.1947,-6,-9,0
17.02.1947,-3.5,-9,0
18.02.1947,-3.2,-8.8,0
19.02.1947,-4.8,-11.2,0
20.02.1947,-4.5,-6.2,0
21.02.1947,4.4,-6.5,18.2
22.02.1947,4.4,-5.6,0.4
23.02.1947,-4.4,-9.1,0
24.02.1947,-4.4,-10.4,0
25.02.1947,-2.2,-7.5,0
26.02.1947,0.6,-12.1,0
27.02.1947,-0.4,-7.3,5
28.02.1947,0.6,-4.8,5.8
01.03.1947,-3,-5.6,0.3
02.03.1947,-1.1,-9.6,0
03.03.1947,0.3,-8,0
04.03.1947,1.3,-5.6,5.2
05.03.1947,5,1.3,17.1
06.03.1947,8.3,1.6,1.6
07.03.1947,3.4,-6.2,0.6
08.03.1947,3.2,-8,0
09.03.1947,5.5,-3.4,0.1
10.03.1947,4.7,-0.3,13.6
11.03.1947,8.2,-0.5,7.3
12.03.1947,-0.1,-2,0.2
13.03.1947,9.5,0,2.2
14.03.1947,10,-1.8,1.7
